Rndrng_Prvdr_Geo_Lvl,Rndrng_Prvdr_Geo_Cd,Rndrng_Prvdr_Geo_Desc,HCPCS_Cd,HCPCS_Desc,HCPCS_Drug_Ind,Place_Of_Srvc,Tot_Rndrng_Prvdrs,Tot_Benes,Tot_Srvcs,Tot_Bene_Day_Srvcs,Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Avg_Mdcr_Stdzd_Amt
National,,National,00162,Anesthesia for extensive surgery on nose and sinuses,N,F,1012,750,1144.0,1144,3019.9706818,329.35310315,261.94201923,256.07059441
National,,National,00164,Anesthesia for biopsy of soft tissue of nose and sinus,N,F,87,69,92.0,92,1121.576087,118.92869565,87.980217391,88.055108696
National,,National,0016M,Molecular pathology test for genetic analysis of bladder tumor (decipher bladder turbt),N,O,1,17,17.0,17,6999.0,3419.84,3419.84,3419.84
National,,National,00170,Anesthesia for other procedure on mouth,N,F,19328,24040,35104.0,35091,1480.6149174,148.68753789,113.53673712,112.27374202
National,,National,00170,Anesthesia for other procedure on mouth,N,O,485,832,1186.0,1185,1104.8734148,135.8127403,95.002529511,96.056846543
National,,National,00172,Anesthesia for procedure on mouth to repair palate deformity,N,F,85,57,85.0,85,2237.2351765,224.49023529,177.76035294,172.22482353
National,,National,00172,Anesthesia for procedure on mouth to repair palate deformity,N,O,1,12,13.0,13,1354.7692308,276.62307692,173.73,199.28846154
National,,National,00176,Anesthesia for extensive surgery on mouth,N,F,2005,1517,2335.0,2335,4264.8797173,421.67035118,335.191606,328.07779015
National,,National,0018U,Microrna gene analysis of thyroid nodule tissue,N,O,2,1726,1726.0,1726,4199.6523754,2926.5166976,2926.5166976,2942.05
National,,National,00190,Anesthesia for other procedure on face bones or skull,N,F,6843,5607,8560.0,8558,2147.5675444,205.78431659,161.51533879,159.01656075
National,,National,00190,Anesthesia for other procedure on face bones or skull,N,O,120,88,137.0,137,1489.8768613,166.54664234,130.60861314,126.31226277
National,,National,00192,Anesthesia for extensive surgery on face bones or skull,N,F,1905,1401,2056.0,2056,3193.3242802,317.34344844,251.31256323,247.77200875
National,,National,00192,Anesthesia for extensive surgery on face bones or skull,N,O,18,13,18.0,18,1526.7166667,175.98,135.72722222,134.75666667
National,,National,00210,Anesthesia for other procedure on brain,N,F,17062,22955,34577.0,34563,3930.921798,411.36434653,327.06315759,321.21305897
National,,National,00210,Anesthesia for other procedure on brain,N,O,68,48,96.0,96,2980.8010417,284.38104167,227.27447917,220.585625
National,,National,00211,Anesthesia for removal of blood collection from brain,N,F,9244,7713,11767.0,11757,3100.3836024,301.54966517,239.44338149,235.87555707
National,,National,00212,Anesthesia for removal of fluid from brain,N,F,42,33,43.0,43,2073.2674419,191.85465116,150.59813953,149.67348837
National,,National,00214,Anesthesia for procedure to create holes in skull including x-ray imaging,N,F,5596,4577,6733.0,6730,2533.2857359,254.21524432,201.4741408,198.07178821
National,,National,00215,Anesthesia for procedure to repair skull or skull fracture,N,F,1637,1191,1780.0,1780,3137.4084775,315.83735393,250.50467978,245.73399438
National,,National,00216,Anesthesia for procedure on blood vessels in brain,N,F,1330,1194,1613.0,1612,5529.5483571,572.27650961,454.47490391,446.0783013
National,,National,00218,Anesthesia for procedure on brain while sitting up,N,F,166,137,193.0,193,3918.5971503,421.35559585,334.77559585,330.48321244
National,,National,00220,Anesthesia for procedure to drain brain and spinal cord fluid,N,F,7204,6199,10097.0,10096,2786.5893661,280.07987125,222.25412202,217.98402199
National,,National,00222,Anesthesia for procedure on nerve in brain,N,F,266,234,339.0,339,1649.3903835,173.94103245,136.30430678,131.50622419
National,,National,0023U,Dna gene analysis for acute myelogenous leukemia,N,O,7,43,44.0,44,602.04545455,238.15227273,238.15227273,238.15227273
National,,National,0024U,Measurement of glycosylated acute phase proteins,N,O,14,539,622.0,622,68.326688103,30.236672026,30.236672026,33.51
National,,National,0026U,Dna and microrna gene analysis of thyroid nodule tissue,N,O,3,507,509.0,507,4046.9607073,3496.5779961,3496.5779961,3528.0
National,,National,0027U,Gene analysis (janus kinase 2) of targeted sequence exons 12-15,N,O,13,585,593.0,593,497.29173693,118.54747049,118.54747049,119.47
National,,National,00300,"Anesthesia for other procedure on skin, muscles, or nerves of head, neck, and upper back",N,F,62294,130314,202687.0,202641,1658.6702023,160.01930884,125.76647101,125.30507497
National,,National,00300,"Anesthesia for other procedure on skin, muscles, or nerves of head, neck, and upper back",N,O,1993,3929,6425.0,6423,1229.7757681,133.54575097,104.55047938,103.59871595
National,,National,0031A,"Intramuscular administration of single severe acute respiratory syndrome coronavirus 2 (covid-19) vaccine, dna, spike protein, adenovirus type 26 (ad26) vector, preservative free, 5x1010 viral particles/0.5ml dosage; single dose",N,O,103,287,291.0,291,61.444398625,39.550927835,39.550927835,40.550206186
National,,National,00320,Anesthesia for other procedure on neck area (1 year or older),N,F,45941,85179,131662.0,131613,1924.5255654,191.87532432,151.41674356,149.92600712
National,,National,00320,Anesthesia for other procedure on neck area (1 year or older),N,O,831,1214,2066.0,2066,1338.5296273,154.22409487,121.05892546,118.77966118
National,,National,00322,Anesthesia for needle biopsy of thyroid,N,F,137,106,149.0,149,1197.4614094,106.66255034,84.488724832,81.242147651
National,,National,00322,Anesthesia for needle biopsy of thyroid,N,O,3,31,31.0,31,4093.2258065,121.52806452,83.757096774,75.864193548
National,,National,0034A,"Intramuscular administration of single severe acute respiratory syndrome coronavirus 2 (covid-19) vaccine, dna, spike protein, adenovirus type 26 (ad26) vector, preservative free, 5x1010 viral particles/0.5ml dosage; booster dose",N,O,29,52,53.0,53,45.552075472,39.057735849,39.057735849,39.92245283
National,,National,0034U,Gene analysis (thiopurine s-methyltransferase) for common variants,N,O,5,25,25.0,25,676.3944,455.1704,455.1704,456.85
National,,National,00350,Anesthesia for other procedure on large blood vessel of neck,N,F,19392,24669,36455.0,36394,3242.4975241,322.52331011,255.74857934,254.57317131
National,,National,00350,Anesthesia for other procedure on large blood vessel of neck,N,O,13,208,295.0,295,3414.2210169,330.90389831,262.58298305,227.57366102
National,,National,00352,Anesthesia for tying large blood vessels of neck,N,F,6680,5454,7736.0,7736,1492.2966468,145.15452559,114.75754266,113.68162099
National,,National,00352,Anesthesia for tying large blood vessels of neck,N,O,52,40,58.0,58,1138.6015517,119.85965517,95.679655172,92.575
National,,National,0035U,Testing for presence of prion protein in cerebrospinal fluid,N,O,8,27,27.0,27,554.29185185,451.06555556,414.99888889,494.82333333
National,,National,0037U,Dna gene analysis of 324 genes in solid organ tumor tissue,N,O,1,15460,15551.0,15551,5800.0,3421.4823683,3421.4823683,3429.9263944
National,,National,0038U,Measurement of vitamin d in serum,N,O,2,536,640.0,640,48.779875,29.01,29.01,29.01
National,,National,00400,"Anesthesia for other procedure on skin of arms, legs, and front body",N,F,70642,170762,272954.0,272863,1251.3957553,116.61380984,91.670222272,90.793504876
National,,National,00400,"Anesthesia for other procedure on skin of arms, legs, and front body",N,O,2317,5460,9247.0,9246,948.52970801,94.281470747,74.007442414,71.18938034
National,,National,00402,Anesthesia for reconstruction of breast,N,F,17829,17846,28911.0,28893,2413.9951814,233.07231849,182.81872471,180.21709937
National,,National,00402,Anesthesia for reconstruction of breast,N,O,765,860,1624.0,1623,1612.3464901,179.66873153,140.51182266,134.53680419
National,,National,00404,Anesthesia for removal of all or part of breast,N,F,3099,2807,3803.0,3803,2295.7195214,239.09018144,189.03252695,187.90138312
National,,National,00404,Anesthesia for removal of all or part of breast,N,O,70,43,81.0,81,1892.0802469,215.58839506,169.83135802,158.83197531
National,,National,00406,Anesthesia for removal of breast and lymph nodes,N,F,92,94,114.0,114,5507.6124561,463.64491228,366.25780702,361.07061404
National,,National,00410,Anesthesia for procedure to correct abnormal heart rhythm,N,F,33258,73706,123029.0,122980,819.67636622,77.055804485,60.219790375,59.677815556
National,,National,00410,Anesthesia for procedure to correct abnormal heart rhythm,N,O,119,228,320.0,320,757.1519375,85.88584375,66.6979375,67.32221875
National,,National,0041A,"Intramuscular administration of single severe acute respiratory syndrome coronavirus 2 (covid-19) vaccine, recombinant spike protein nanoparticle, saponin-based adjuvant, preservative free, 5 mcg/0.5ml dosage; first dose",N,O,215,367,377.0,377,50.858753316,38.543289125,38.543289125,36.588647215
National,,National,0041U,Igm antibody detection test for borrelia burgdorferi,N,O,1,2637,2872.0,2872,225.0,16.87,16.87,16.87
National,,National,0042A,"Intramuscular administration of single severe acute respiratory syndrome coronavirus 2 (covid-19) vaccine, recombinant spike protein nanoparticle, saponin-based adjuvant, preservative free, 5 mcg/0.5ml dosage; second dose",N,O,158,212,213.0,213,58.443098592,38.572676056,38.572676056,40.307934272
National,,National,0042T,"Computed tomography (ct) of brain blood flow, volume, and timing of flow analysis with contrast",N,F,5477,40443,42580.0,42570,664.70607985,205.69032034,162.7592055,161.44735016
National,,National,0042T,"Computed tomography (ct) of brain blood flow, volume, and timing of flow analysis with contrast",N,O,22,22,22.0,22,933.21272727,207.21454545,165.39045455,163.92181818
National,,National,0042U,Igg antibody detection test for borrelia burgdorferi,N,O,1,2630,2857.0,2857,224.90549527,16.869831992,16.869831992,16.87
National,,National,0043U,Igm antibody detection test for tick-borne relapsing fever borrelia group (igm),N,O,1,2186,2387.0,2387,225.0,14.56,14.56,14.56
National,,National,0044A,Adm sarscov2 5mcg/0.5ml bst,N,O,184,341,345.0,345,54.32373913,39.033710145,39.033710145,40.466
National,,National,0044U,Igm antibody detection test for tick-borne relapsing fever borrelia group (igg),N,O,1,2241,2447.0,2447,224.90192072,14.56,14.56,14.56
National,,National,00450,Anesthesia for other procedure on collar bone and shoulder blade,N,F,4574,3393,4953.0,4953,1934.6882334,194.20796083,153.36885928,152.65160509
National,,National,00450,Anesthesia for other procedure on collar bone and shoulder blade,N,O,75,51,81.0,81,1673.2714815,150.17493827,119.80098765,124.07296296
National,,National,00454,Anesthesia for biopsy of collar bone,N,F,82,59,83.0,83,1248.7395181,115.21024096,89.455180723,84.975180723
National,,National,00454,Anesthesia for biopsy of collar bone,N,O,36,32,50.0,50,558.42,82.5074,63.4506,59.5966
National,,National,0045U,Mrna gene analysis of 12 genes in breast ductal carcinoma in situ tumor tissue,N,O,1,200,201.0,201,4620.0,3795.54,3795.54,3795.54
National,,National,00470,Anesthesia for other partial removal of rib,N,F,1613,1242,1725.0,1723,2150.7634609,213.0606029,168.176,166.57272464
National,,National,00472,Anesthesia for partial removal of rib and chest wall repair,N,F,235,183,240.0,240,2967.6131667,340.569875,270.51825,267.91316667
National,,National,00474,Anesthesia for extensive partial removal of rib,N,F,198,139,207.0,207,4315.1129469,437.25207729,348.20144928,351.04908213
National,,National,0047U,Mrna gene analysis of 17 genes in prostate tumor tissue,N,O,1,3444,3456.0,3456,4520.0,3789.5156742,3789.0674103,3795.1007002
National,,National,00500,Anesthesia for procedure on esophagus,N,F,1794,1658,2238.0,2238,5861.3783557,654.07753798,520.89785076,513.43530384
National,,National,0051A,"Intramuscular administration of single severe acute respiratory syndrome coronavirus 2 (covid-19) vaccine, mrna-lnp, spike protein, preservative free, 30 mcg/0.3ml dosage, tris-sucrose formulation; first dose",N,O,1131,1892,1902.0,1902,72.136919033,40.532733964,40.532733964,40.61117245
National,,National,0051U,Testing for presence of 31 prescription drugs in urine or blood specimen,N,O,1,26,27.0,27,699.88888889,189.84,189.84,189.84
National,,National,00520,Anesthesia for other closed procedure on chest,N,F,44392,99216,162810.0,162759,1653.6835665,155.78306597,123.25382759,121.79007598
National,,National,00520,Anesthesia for other closed procedure on chest,N,O,454,949,1709.0,1708,1126.5101755,131.70865418,104.40475717,100.34110006
National,,National,00522,Anesthesia for closed needle biopsy of lung,N,F,207,206,264.0,264,1126.4198485,125.02534091,98.605530303,97.093939394
National,,National,00522,Anesthesia for closed needle biopsy of lung,N,O,12,28,32.0,32,1264.28125,121.2228125,96.5909375,96.629375
National,,National,00524,Anesthesia for closed drainage of lung fluid,N,F,1469,1152,1793.0,1790,1309.7523146,119.10394869,94.671065254,91.773714445
National,,National,00524,Anesthesia for closed drainage of lung fluid,N,O,37,25,55.0,55,1543.3090909,91.776363636,72.189272727,65.706363636
National,,National,00528,Anesthesia for closed exam of chest using an endoscope,N,F,3031,2624,3660.0,3660,2467.7786967,237.47084153,188.52575137,184.83213115
National,,National,00529,Anesthesia for closed exam of chest using an endoscope with 1 lung inflated,N,F,3074,2771,3793.0,3789,3172.8920011,319.50203269,253.72089639,249.91192987
National,,National,0052A,"Intramuscular administration of single severe acute respiratory syndrome coronavirus 2 (covid-19) vaccine, mrna-lnp, spike protein, preservative free, 30 mcg/0.3ml dosage, tris-sucrose formulation; second dose",N,O,1084,1716,1722.0,1722,73.93170151,40.504512195,40.504512195,40.62655633
National,,National,00530,Anesthesia for insertion of permanent heart pacemaker,N,F,26649,65093,96445.0,96401,1763.1043451,158.26447291,124.89780673,122.25117456
National,,National,00530,Anesthesia for insertion of permanent heart pacemaker,N,O,64,214,247.0,247,1274.1362348,159.09453441,125.35433198,127.02133603
National,,National,00532,Anesthesia for access to central vein,N,F,32905,53381,78978.0,78950,1282.2346246,121.95863101,96.3418376,95.858462736
National,,National,00532,Anesthesia for access to central vein,N,O,621,2595,3655.0,3655,1230.1151491,116.43277702,91.825480164,87.218046512
National,,National,00534,Anesthesia for insertion or replace of pacing heart defibrillator,N,F,17019,25926,38898.0,38881,2300.1996085,213.93424855,168.67710422,165.87132423
National,,National,00534,Anesthesia for insertion or replace of pacing heart defibrillator,N,O,51,86,105.0,105,1893.4610476,206.32057143,164.56133333,165.82390476
National,,National,00537,Anesthesia for procedure to assess heart electrical activity,N,F,31389,109289,164938.0,164875,3152.8574009,313.59828154,248.27377257,245.89668403
National,,National,00537,Anesthesia for procedure to assess heart electrical activity,N,O,50,77,115.0,115,3087.1148696,266.64721739,208.27965217,209.578
National,,National,00539,Anesthesia for reconstruction of airway,N,F,144,117,150.0,150,6047.6606,666.12833333,531.7126,517.58033333
National,,National,0053A,"Intramuscular administration of single severe acute respiratory syndrome coronavirus 2 (covid-19) vaccine, mrna-lnp, spike protein, preservative free, 30 mcg/0.3ml dosage, tris-sucrose formulation; third dose",N,O,234,382,385.0,385,80.607948052,40.384727273,40.384727273,40.69
National,,National,00540,Anesthesia for other procedure on chest,N,F,5391,5304,7226.0,7218,3553.7272516,372.05663022,295.85543039,292.55365763
National,,National,00541,Anesthesia for procedure on chest with 1 lung inflated,N,F,13513,23933,32390.0,32375,4203.2750898,450.4413464,358.03225872,350.72523371
National,,National,00541,Anesthesia for procedure on chest with 1 lung inflated,N,O,55,65,128.0,128,3470.7578125,326.5653125,261.90289063,254.58429687
National,,National,00542,Anesthesia for removal of tissue from around lung,N,F,3835,3524,4764.0,4763,4268.9641856,426.9693199,339.97381612,335.14957809
National,,National,00546,Anesthesia for removal of lung with chest wall repair,N,F,30,27,35.0,35,3421.0857143,498.274,394.31342857,383.16257143
National,,National,00548,Anesthesia for procedure on airway,N,F,126,116,153.0,153,3948.2601961,471.40751634,376.33686275,375.07248366
National,,National,0054A,"Intramuscular administration of single severe acute respiratory syndrome coronavirus 2 (covid-19) vaccine, mrna-lnp, spike protein, preservative free, 30 mcg/0.3ml dosage, tris-sucrose formulation; booster dose",N,O,555,1742,1806.0,1806,53.515526024,39.82620155,39.82620155,40.50496124
National,,National,0054T,"Computer-assisted, fluoroscopic image-guided musculoskeletal surgical navigational orthopedic operation",N,F,348,6862,7392.0,7392,696.2666342,170.13461715,135.67579681,134.99312906
National,,National,0054T,"Computer-assisted, fluoroscopic image-guided musculoskeletal surgical navigational orthopedic operation",N,O,9,32,32.0,32,527.9571875,217.80875,174.22625,175.4553125
National,,National,00550,Anesthesia for removal of breast bone tissue,N,F,2529,1925,3278.0,3275,2816.9743228,304.28659243,241.89636669,238.3133435
National,,National,0055T,Musculoskeletal surgical navigational orthopedic operation using imaging guidance,N,F,940,21791,23573.0,23572,898.0573669,187.82349043,149.91499639,148.62393119
National,,National,0055T,Musculoskeletal surgical navigational orthopedic operation using imaging guidance,N,O,16,162,167.0,167,618.11982036,217.52748503,173.33874251,174.00580838
National,,National,00560,Anesthesia for procedure on heart and large blood vessels,N,F,12251,59619,78058.0,77993,3716.3112105,394.26217082,313.51992044,307.87530221
National,,National,00560,Anesthesia for procedure on heart and large blood vessels,N,O,16,58,62.0,61,813.8066129,453.70612903,361.84209677,363.47935484
National,,National,00562,Anesthesia for procedure on heart and large blood vessels using heart-lung machine (1 year or older),N,F,7537,25903,31948.0,31915,6540.8757785,754.70812445,601.51563791,592.48445255
National,,National,00563,Anesthesia for procedure on heart and large blood vessels using heart-lung machine and stopping blood flow,N,F,2285,4040,5187.0,5182,7176.7637825,856.64816464,682.81096202,674.16383266
National,,National,00566,Anesthesia for heart artery bypass grafting,N,F,2074,4141,5027.0,5020,6980.1785459,746.05152576,594.68755122,592.99901731
National,,National,00567,Anesthesia for heart artery bypass grafting on heart-lung machine,N,F,9393,37805,47621.0,47589,6114.2833611,666.35694148,530.80500388,528.54576699
National,,National,00580,Anesthesia for heart or heart-lung transplant,N,F,881,1423,1656.0,1656,8261.2091667,1009.0128563,805.09384058,780.08321256
National,,National,0058U,Measurement of antibodies to merkel cell polyoma virus oncoprotein in serum,N,O,12,137,201.0,201,372.28512438,316.5,316.5,316.5
National,,National,0059U,Test for presence of antibodies to merkel cell polyoma virus oncoprotein in serum,N,O,7,49,50.0,50,339.291,316.5,316.5,316.5
National,,National,00600,Anesthesia for other procedure on upper spine,N,F,7900,7831,11153.0,11148,3135.6862145,299.97054694,237.60270331,236.41945934
National,,National,00600,Anesthesia for other procedure on upper spine,N,O,47,288,564.0,564,1101.5215957,259.56815603,200.30904255,196.9735461
National,,National,00604,Anesthesia for procedure on upper spine with sitting up,N,F,178,153,203.0,203,3303.4181281,364.33866995,288.29615764,288.44586207
National,,National,0061U,Spatial frequency domain imaging of skin,N,O,3,195,381.0,195,50.223097113,24.6,24.6,24.6
National,,National,00620,Anesthesia for other procedure on middle spine,N,F,7388,7147,10473.0,10469,2843.954101,279.91480951,221.80516089,221.03789077
National,,National,00620,Anesthesia for other procedure on middle spine,N,O,36,43,53.0,53,1798.7843396,257.88566038,205.90698113,220.34830189
National,,National,00625,Anesthesia for procedure on middle spine through chest wall,N,F,308,218,321.0,321,4621.564081,417.61928349,332.35990654,328.22566978
National,,National,00625,Anesthesia for procedure on middle spine through chest wall,N,O,4,56,118.0,118,736.66372881,327.78398305,257.63110169,252.95567797
National,,National,00626,Anesthesia for procedure on middle spine through chest wall with 1 lung inflated,N,F,77,55,77.0,77,6143.5166234,561.13337662,445.91597403,435.56987013
National,,National,00630,Anesthesia for other procedure on lower spine,N,F,36283,66203,94442.0,94416,2531.6767941,248.88400235,196.73154719,195.58585608
National,,National,00630,Anesthesia for other procedure on lower spine,N,O,446,2070,4064.0,4064,1060.3400689,211.75738681,161.93752215,160.01569636
National,,National,00632,Anesthesia for removal of nerves in lower spine,N,F,34,29,37.0,37,2560.0854054,250.59891892,197.20702703,193.46621622
National,,National,00635,Anesthesia for spinal tap,N,F,2724,2141,3245.0,3243,1340.8904561,124.94689985,98.478539291,95.574758089
National,,National,00635,Anesthesia for spinal tap,N,O,6,17,21.0,21,2249.5047619,127.95809524,102.19095238,96.099047619
National,,National,00640,Anesthesia for manipulation or closed procedure of spine,N,F,1139,893,1359.0,1357,1351.7854305,114.43370125,90.912229581,88.626401766
National,,National,00640,Anesthesia for manipulation or closed procedure of spine,N,O,38,90,118.0,118,2290.4840678,93.15440678,74.311186441,69.749745763
National,,National,0064A,"Intramuscular administration of single severe acute respiratory syndrome coronavirus 2 (covid-19) vaccine, mrna-lnp, spike protein, preservative free, 50 mcg/0.25ml dosage, booster dose",N,O,496,2137,2148.1,2149,67.823662772,41.53288022,41.53288022,40.633187468
National,,National,0064U,Antibody testing for syphilis,N,O,5,186,193.0,193,88.846528497,30.556839378,30.556839378,30.7
National,,National,0065U,Non-antibody testing for syphilis,N,O,2,130,132.0,132,23.140151515,14.431515152,14.431515152,17.73
National,,National,00670,Anesthesia for extensive surgery on spine,N,F,49630,154551,235366.0,235309,4179.8714071,409.30947911,324.68267273,322.12893472
National,,National,00670,Anesthesia for extensive surgery on spine,N,O,169,234,295.0,295,3497.7812881,356.93691525,282.52664407,281.82386441
National,,National,00700,Anesthesia for other procedure on upper front abdomen,N,F,15028,12915,22015.0,22009,1448.200978,134.39420668,106.29028253,103.86865546
National,,National,00700,Anesthesia for other procedure on upper front abdomen,N,O,224,222,472.0,472,2384.8807415,113.7646822,89.777478814,82.891673729
National,,National,00702,Anesthesia for biopsy of liver,N,F,1320,1209,1711.0,1711,1327.0313326,123.67824079,97.549351257,93.816101695
National,,National,00702,Anesthesia for biopsy of liver,N,O,191,374,607.0,607,825.27059308,91.282273476,72.313887974,68.488138386
